code,yfinance_code,exchange
600000,600000.SS,上交所
600004,600004.SS,上交所
600006,600006.SS,上交所
600007,600007.SS,上交所
600008,600008.SS,上交所
600009,600009.SS,上交所
600010,600010.SS,上交所
600011,600011.SS,上交所
600012,600012.SS,上交所
600015,600015.SS,上交所
600016,600016.SS,上交所
600017,600017.SS,上交所
600018,600018.SS,上交所
600019,600019.SS,上交所
600020,600020.SS,上交所
600021,600021.SS,上交所
600022,600022.SS,上交所
600023,600023.SS,上交所
600025,600025.SS,上交所
600026,600026.SS,上交所
600027,600027.SS,上交所
600028,600028.SS,上交所
600029,600029.SS,上交所
600030,600030.SS,上交所
600031,600031.SS,上交所
600032,600032.SS,上交所
600033,600033.SS,上交所
600035,600035.SS,上交所
600036,600036.SS,上交所
600037,600037.SS,上交所
600038,600038.SS,上交所
600039,600039.SS,上交所
600048,600048.SS,上交所
600050,600050.SS,上交所
600051,600051.SS,上交所
600052,600052.SS,上交所
600053,600053.SS,上交所
600054,600054.SS,上交所
600055,600055.SS,上交所
600056,600056.SS,上交所
600057,600057.SS,上交所
600058,600058.SS,上交所
600059,600059.SS,上交所
600060,600060.SS,上交所
600061,600061.SS,上交所
600062,600062.SS,上交所
600063,600063.SS,上交所
600064,600064.SS,上交所
600066,600066.SS,上交所
600067,600067.SS,上交所
600071,600071.SS,上交所
600072,600072.SS,上交所
600073,600073.SS,上交所
600075,600075.SS,上交所
600076,600076.SS,上交所
600078,600078.SS,上交所
600079,600079.SS,上交所
600080,600080.SS,上交所
600081,600081.SS,上交所
600082,600082.SS,上交所
600084,600084.SS,上交所
600085,600085.SS,上交所
600088,600088.SS,上交所
600089,600089.SS,上交所
600094,600094.SS,上交所
600095,600095.SS,上交所
600096,600096.SS,上交所
600097,600097.SS,上交所
600098,600098.SS,上交所
600099,600099.SS,上交所
600100,600100.SS,上交所
600101,600101.SS,上交所
600103,600103.SS,上交所
600104,600104.SS,上交所
600105,600105.SS,上交所
600106,600106.SS,上交所
600107,600107.SS,上交所
600108,600108.SS,上交所
600109,600109.SS,上交所
600110,600110.SS,上交所
600111,600111.SS,上交所
600113,600113.SS,上交所
600114,600114.SS,上交所
600115,600115.SS,上交所
600116,600116.SS,上交所
600117,600117.SS,上交所
600118,600118.SS,上交所
600119,600119.SS,上交所
600120,600120.SS,上交所
600121,600121.SS,上交所
600123,600123.SS,上交所
600125,600125.SS,上交所
600126,600126.SS,上交所
600127,600127.SS,上交所
600128,600128.SS,上交所
600129,600129.SS,上交所
600130,600130.SS,上交所
600131,600131.SS,上交所
600132,600132.SS,上交所
600133,600133.SS,上交所
600135,600135.SS,上交所
600136,600136.SS,上交所
600137,600137.SS,上交所
600138,600138.SS,上交所
600141,600141.SS,上交所
600143,600143.SS,上交所
600148,600148.SS,上交所
600149,600149.SS,上交所
600150,600150.SS,上交所
600151,600151.SS,上交所
600152,600152.SS,上交所
600153,600153.SS,上交所
600155,600155.SS,上交所
600156,600156.SS,上交所
600157,600157.SS,上交所
600158,600158.SS,上交所
600159,600159.SS,上交所
600160,600160.SS,上交所
600161,600161.SS,上交所
600162,600162.SS,上交所
600163,600163.SS,上交所
600165,600165.SS,上交所
600166,600166.SS,上交所
600167,600167.SS,上交所
600168,600168.SS,上交所
600169,600169.SS,上交所
600170,600170.SS,上交所
600171,600171.SS,上交所
600172,600172.SS,上交所
600173,600173.SS,上交所
600176,600176.SS,上交所
600177,600177.SS,上交所
600178,600178.SS,上交所
600179,600179.SS,上交所
600180,600180.SS,上交所
600182,600182.SS,上交所
600183,600183.SS,上交所
600184,600184.SS,上交所
600185,600185.SS,上交所
600186,600186.SS,上交所
600187,600187.SS,上交所
600188,600188.SS,上交所
600189,600189.SS,上交所
600191,600191.SS,上交所
600192,600192.SS,上交所
600195,600195.SS,上交所
600196,600196.SS,上交所
600197,600197.SS,上交所
600198,600198.SS,上交所
600199,600199.SS,上交所
600201,600201.SS,上交所
600202,600202.SS,上交所
